Multinomial Naive Bayes : 0
{'results': (0.871, 0.871, 0.871), 'parameters': {'alpha': 0.0}}
{'results': (0.924, 0.924, 0.924), 'parameters': {'alpha': 0.1}}
{'results': (0.923, 0.923, 0.923), 'parameters': {'alpha': 0.2}}
{'results': (0.923, 0.923, 0.923), 'parameters': {'alpha': 0.3}}
{'results': (0.922, 0.922, 0.922), 'parameters': {'alpha': 0.4}}
{'results': (0.921, 0.921, 0.921), 'parameters': {'alpha': 0.5}}
{'results': (0.92, 0.92, 0.92), 'parameters': {'alpha': 0.6}}
{'results': (0.919, 0.919, 0.919), 'parameters': {'alpha': 0.7}}
{'results': (0.918, 0.918, 0.918), 'parameters': {'alpha': 0.8}}
{'results': (0.917, 0.917, 0.917), 'parameters': {'alpha': 0.9}}
{'results': (0.916, 0.916, 0.916), 'parameters': {'alpha': 1.0}}
{'results': (0.915, 0.915, 0.915), 'parameters': {'alpha': 1.1}}
{'results': (0.914, 0.914, 0.914), 'parameters': {'alpha': 1.2}}
{'results': (0.913, 0.913, 0.913), 'parameters': {'alpha': 1.3}}
{'results': (0.912, 0.912, 0.912), 'parameters': {'alpha': 1.4}}
{'results': (0.911, 0.911, 0.911), 'parameters': {'alpha': 1.5}}
{'results': (0.91, 0.91, 0.91), 'parameters': {'alpha': 1.6}}
{'results': (0.909, 0.909, 0.909), 'parameters': {'alpha': 1.7}}
{'results': (0.909, 0.909, 0.909), 'parameters': {'alpha': 1.8}}
{'results': (0.908, 0.908, 0.908), 'parameters': {'alpha': 1.9}}
{'results': (0.907, 0.907, 0.907), 'parameters': {'alpha': 2.0}}


Multinomial Naive Bayes : 1
{'results': (0.816, 0.816, 0.816), 'parameters': {'alpha': 0.0}}
{'results': (0.919, 0.919, 0.919), 'parameters': {'alpha': 0.1}}
{'results': (0.919, 0.919, 0.919), 'parameters': {'alpha': 0.2}}
{'results': (0.918, 0.918, 0.918), 'parameters': {'alpha': 0.3}}
{'results': (0.917, 0.917, 0.917), 'parameters': {'alpha': 0.4}}
{'results': (0.916, 0.916, 0.916), 'parameters': {'alpha': 0.5}}
{'results': (0.914, 0.914, 0.914), 'parameters': {'alpha': 0.6}}
{'results': (0.912, 0.912, 0.912), 'parameters': {'alpha': 0.7}}
{'results': (0.91, 0.91, 0.91), 'parameters': {'alpha': 0.8}}
{'results': (0.908, 0.908, 0.908), 'parameters': {'alpha': 0.9}}
{'results': (0.907, 0.907, 0.907), 'parameters': {'alpha': 1.0}}
{'results': (0.905, 0.905, 0.905), 'parameters': {'alpha': 1.1}}
{'results': (0.904, 0.904, 0.904), 'parameters': {'alpha': 1.2}}
{'results': (0.903, 0.903, 0.903), 'parameters': {'alpha': 1.3}}
{'results': (0.902, 0.902, 0.902), 'parameters': {'alpha': 1.4}}
{'results': (0.901, 0.901, 0.901), 'parameters': {'alpha': 1.5}}
{'results': (0.9, 0.9, 0.9), 'parameters': {'alpha': 1.6}}
{'results': (0.899, 0.899, 0.899), 'parameters': {'alpha': 1.7}}
{'results': (0.899, 0.899, 0.899), 'parameters': {'alpha': 1.8}}
{'results': (0.898, 0.898, 0.898), 'parameters': {'alpha': 1.9}}
{'results': (0.898, 0.898, 0.898), 'parameters': {'alpha': 2.0}}


Multinomial Naive Bayes : 2
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 0.0}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 0.1}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 0.2}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 0.3}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 0.4}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 0.5}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 0.6}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 0.7}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 0.8}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 0.9}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 1.0}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 1.1}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 1.2}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 1.3}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 1.4}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 1.5}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 1.6}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 1.7}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 1.8}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 1.9}}
{'results': (0.893, 0.893, 0.893), 'parameters': {'alpha': 2.0}}


Multinomial Naive Bayes : 3
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 0.0}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 0.1}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 0.2}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 0.3}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 0.4}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 0.5}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 0.6}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 0.7}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 0.8}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 0.9}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 1.0}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 1.1}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 1.2}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 1.3}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 1.4}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 1.5}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 1.6}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 1.7}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 1.8}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 1.9}}
{'results': (0.589, 0.589, 0.589), 'parameters': {'alpha': 2.0}}


Multinomial Naive Bayes : 4
{'results': (0.892, 0.892, 0.892), 'parameters': {'alpha': 0.0}}
{'results': (0.907, 0.907, 0.907), 'parameters': {'alpha': 0.1}}
{'results': (0.908, 0.908, 0.908), 'parameters': {'alpha': 0.2}}
{'results': (0.909, 0.909, 0.909), 'parameters': {'alpha': 0.3}}
{'results': (0.909, 0.909, 0.909), 'parameters': {'alpha': 0.4}}
{'results': (0.909, 0.909, 0.909), 'parameters': {'alpha': 0.5}}
{'results': (0.909, 0.909, 0.909), 'parameters': {'alpha': 0.6}}
{'results': (0.908, 0.908, 0.908), 'parameters': {'alpha': 0.7}}
{'results': (0.908, 0.908, 0.908), 'parameters': {'alpha': 0.8}}
{'results': (0.907, 0.907, 0.907), 'parameters': {'alpha': 0.9}}
{'results': (0.907, 0.907, 0.907), 'parameters': {'alpha': 1.0}}
{'results': (0.906, 0.906, 0.906), 'parameters': {'alpha': 1.1}}
{'results': (0.906, 0.906, 0.906), 'parameters': {'alpha': 1.2}}
{'results': (0.905, 0.905, 0.905), 'parameters': {'alpha': 1.3}}
{'results': (0.904, 0.904, 0.904), 'parameters': {'alpha': 1.4}}
{'results': (0.903, 0.903, 0.903), 'parameters': {'alpha': 1.5}}
{'results': (0.902, 0.902, 0.902), 'parameters': {'alpha': 1.6}}
{'results': (0.901, 0.901, 0.901), 'parameters': {'alpha': 1.7}}
{'results': (0.9, 0.9, 0.9), 'parameters': {'alpha': 1.8}}
{'results': (0.9, 0.9, 0.9), 'parameters': {'alpha': 1.9}}
{'results': (0.899, 0.899, 0.899), 'parameters': {'alpha': 2.0}}


